iter	Passed	Remaining
409	5390	7756
410	5401	7740
411	5411	7723
412	5420	7704
413	5431	7688
414	5440	7669
415	5450	7651
416	5461	7635
417	5470	7616
418	5479	7597
419	5488	7579
420	5497	7560
421	5507	7543
422	5516	7525
423	5526	7507
424	5536	7490
425	5546	7473
426	5556	7455
427	5566	7439
428	5575	7421
429	5584	7403
430	5593	7384
431	5603	7367
432	5614	7351
433	5623	7333
434	5632	7316
435	5641	7298
436	5650	7280
437	5661	7264
438	5671	7247
439	5681	7231
440	5692	7215
441	5701	7197
442	5710	7180
443	5721	7164
444	5729	7146
445	5740	7130
446	5749	7112
447	5759	7096
448	5769	7079
449	5777	7061
450	5788	7045
451	5797	7029
452	5807	7012
453	5816	6995
454	5826	6978
455	5836	6962
456	5845	6946
457	5855	6929
458	5865	6913
459	5876	6898
460	5886	6882
461	5899	6869
462	5914	6859
463	5929	6849
464	5946	6841
465	5963	6833
466	5978	6823
467	5993	6813
468	6009	6803
469	6024	6793
470	6039	6783
471	6054	6772
472	6067	6760
473	6081	6748
474	6095	6737
475	6109	6725
476	6122	6713
477	6136	6701
478	6149	6688
479	6162	6675
480	6175	6663
481	6188	6650
482	6202	6638
483	6216	6627
484	6227	6612
485	6238	6598
486	6249	6583
487	6263	6571
488	6278	6560
489	6291	6548
490	6303	6534
491	6315	6521
492	6329	6508
493	6342	6496
494	6354	6483
495	6366	6468
496	6376	6453
497	6388	6439
498	6399	6424
499	6409	6409
500	6420	6394
501	6431	6379
502	6441	6365
503	6452	6350
504	6464	6336
505	6475	6321
506	6487	6308
507	6499	6294
508	6509	6279
509	6520	6264
510	6532	6251
511	6543	6236
512	6552	6220
513	6563	6206
514	6573	6190
515	6582	6174
516	6595	6161
517	6604	6145
518	6613	6129
519	6623	6113
520	6632	6097
521	6641	6082
522	6650	6065
523	6659	6049
524	6669	6034
525	6679	6018
526	6689	6003
527	6698	5988
528	6707	5971
529	6717	5956
530	6726	5941
531	6736	5925
532	6745	5909
533	6754	5894
534	6764	5879
535	6773	5863
536	6783	5848
537	6792	5832
538	6803	5818
539	6813	5804
540	6822	5788
541	6832	5774
542	6843	5759
543	6853	5744
544	6865	5731
545	6876	5717
546	6890	5706
547	6905	5695
548	6920	5685
549	6936	5675
550	6950	5663
551	6966	5653
552	6983	5644
553	6998	5634
554	7012	5622
555	7028	5612
556	7043	5601
557	7058	5590
558	7072	5579
559	7086	5568
560	7099	5555
561	7112	5543
562	7125	5531
563	7139	5519
564	7153	5507
565	7168	5496
566	7182	5484
567	7195	5472
568	7208	5460
569	7221	5447
570	7235	5436
571	7251	5425
572	7267	5415
573	7282	5404
574	7303	5397
575	7318	5387
576	7334	5377
577	7352	5367
578	7370	5359
579	7386	5348
580	7405	5340
581	7422	5330
582	7439	5321
583	7456	5311
584	7475	5303
585	7492	5293
586	7508	5282
587	7528	5275
588	7545	5265
589	7567	5258
590	7584	5248
591	7602	5239
592	7628	5235
593	7651	5229
594	7719	5254
595	7761	5261
596	7800	5265
597	7841	5271
598	7885	5278
599	7942	5295
600	7995	5308
601	8045	5318
602	8057	5304
603	8092	5305
604	8111	5295
605	8127	5283
606	8148	5276
607	8165	5264
608	8179	5251
609	8193	5238
610	8208	5226
611	8223	5213
612	8239	5201
613	8254	5189
614	8269	5176
615	8285	5164
616	8300	5152
617	8318	5141
618	8331	5128
619	8345	5115
620	8358	5100
621	8371	5087
622	8387	5075
623	8400	5061
624	8412	5047
625	8426	5034
626	8439	5020
627	8451	5006
628	8464	4992
629	8477	4978
630	8490	4965
631	8504	4952
632	8517	4938
633	8529	4923
634	8543	4910
635	8555	4896
636	8570	4883
637	8584	4870
638	8598	4857
639	8611	4844
640	8625	4830
641	8638	4817
642	8650	4803
643	8664	4789
644	8677	4776
645	8690	4762
646	8703	4748
647	8716	4734
648	8728	4720
649	8742	4707
650	8756	4694
651	8768	4680
652	8781	4666
653	8794	4652
654	8846	4659
655	8885	4659
656	8921	4657
657	8950	4651
658	8981	4647
659	9014	4643
660	9044	4638
661	9059	4625
662	9073	4612
663	9088	4598
664	9110	4589
665	9143	4585
666	9161	4573
667	9172	4558
668	9182	4543
669	9194	4528
670	9205	4513
671	9219	4499
672	9231	4485
673	9242	4470
674	9255	4456
675	9267	4441
676	9278	4426
677	9289	4412
