iter	Logloss
0	0.6842994094
1	0.675555706
2	0.667974472
3	0.6597751975
4	0.6512964368
5	0.64326334
6	0.6350410581
7	0.6277059317
8	0.6198584437
9	0.6136499047
10	0.6058273911
11	0.5980942249
12	0.5908185244
13	0.5837504864
14	0.5762471557
15	0.5693897009
16	0.5633159876
17	0.5568141937
18	0.5497729778
19	0.5443770885
20	0.5394743681
21	0.5321087241
22	0.5257282257
23	0.5199208856
24	0.5156176686
25	0.5096026063
26	0.5035333633
27	0.4983475208
28	0.4923555851
29	0.4869851172
30	0.4812982976
31	0.4764539003
32	0.4709609151
33	0.4656091928
34	0.4600635767
35	0.4547470808
36	0.4493108392
37	0.4449211955
38	0.4404110909
39	0.4348365068
40	0.4287569225
41	0.4238224626
42	0.4194828868
43	0.4152467847
44	0.4112108946
45	0.4062208235
46	0.4017631412
47	0.3967276812
48	0.3921542764
49	0.3877927661
50	0.3840199709
51	0.3805188835
52	0.376476109
53	0.372187227
54	0.3681957722
55	0.3647838533
56	0.3608951569
57	0.3571283221
58	0.3538467586
59	0.3497446179
60	0.3464285731
61	0.3427364826
62	0.3393138349
63	0.3364594281
64	0.333414495
65	0.3302294612
66	0.3263159692
67	0.3236936033
68	0.3205783665
69	0.3179064393
70	0.3151957989
71	0.3122005165
72	0.3091450036
73	0.3063360453
74	0.3035022616
75	0.3006951809
76	0.2984363139
77	0.2953774929
78	0.292435199
79	0.2893334031
80	0.2863155603
81	0.2840872407
82	0.2815823853
83	0.2790501118
84	0.2770661414
85	0.2746123075
86	0.2721137404
87	0.2698208094
88	0.2675051093
89	0.2651509941
90	0.2629159689
91	0.260917604
92	0.2585391104
93	0.2561240792
94	0.2539080977
95	0.2516881824
96	0.2493800521
97	0.2473851442
98	0.2452195585
99	0.24309282
100	0.241027087
101	0.2391260415
102	0.2375634164
103	0.2356160581
104	0.2336760461
105	0.2313244045
106	0.2295824736
107	0.227711305
108	0.2261183262
109	0.2239921987
110	0.2219359875
111	0.2201505005
112	0.2184870541
113	0.2166886628
114	0.215264827
115	0.2135996372
116	0.2117193043
117	0.2100723982
118	0.2087465823
119	0.2069412917
120	0.2054671347
121	0.2040373683
122	0.2024433911
123	0.2007540464
124	0.1992479265
125	0.1977931559
126	0.1966998577
127	0.1951405257
128	0.193564415
129	0.1922463179
130	0.1907037497
131	0.1891888082
132	0.1879316568
133	0.1865130961
134	0.1849415898
135	0.1835572124
136	0.1821680516
137	0.1809524894
138	0.1795034707
139	0.178344503
140	0.177303344
141	0.1759435833
142	0.1744431257
143	0.1731712371
144	0.171854496
145	0.1704986393
146	0.1692610085
147	0.1683388799
148	0.1673009247
149	0.1665996909
150	0.1653073281
151	0.1642317027
152	0.1630388796
153	0.16216892
154	0.1611010134
155	0.1600593626
156	0.1592155546
157	0.1582578123
158	0.1573903263
159	0.1564501524
160	0.1552557945
161	0.1543681026
162	0.1532740891
163	0.1522871256
164	0.1512438506
165	0.1500655711
166	0.1489983797
167	0.1481176317
168	0.1471967995
169	0.1461038589
170	0.1451501101
171	0.1444034576
172	0.1434604824
173	0.1424663663
174	0.141486004
175	0.1405844986
176	0.1397327334
177	0.1389321685
178	0.1381269544
179	0.1372667849
180	0.1363289654
181	0.13546215
182	0.1346845776
183	0.1338947415
184	0.132981047
185	0.1321440637
186	0.1312205195
187	0.1304607838
188	0.1297896951
189	0.1289856285
190	0.1284321249
191	0.1276628226
192	0.1271105409
193	0.1263206005
194	0.1255501807
195	0.1251422465
196	0.1242065206
197	0.123457253
198	0.1229568422
199	0.1223178208
200	0.1214726865
201	0.120759815
202	0.1201759949
203	0.1195112616
204	0.1187602431
205	0.1180240512
206	0.1173200831
207	0.1164227799
208	0.115730077
209	0.1151132211
210	0.1144203544
211	0.1137365624
212	0.1131132841
213	0.1124792695
214	0.1117043346
215	0.1111761034
216	0.1105561554
217	0.1098375618
218	0.1093558669
219	0.1086249128
220	0.1080678552
221	0.1074717119
222	0.1070189029
223	0.1064688861
